time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
0.998000,0.000000,0.112542,0.717678,0.717678,0.541054,0.541054,-0.064082,0.000000,-0.047176
1.498000,0.000000,0.109189,0.734875,0.734875,0.501445,0.501445,-0.121038,-0.032041,-0.079544
1.998000,0.000000,0.018326,0.744609,0.744609,0.622964,0.622964,-0.094063,-0.092560,-0.122729
2.498000,0.000000,0.000000,0.709183,0.709183,0.559272,0.559272,-0.135952,-0.139592,-0.168958
2.998000,0.000000,0.000000,0.714694,0.714694,0.461719,0.461719,-0.232219,-0.207568,-0.216206
3.498000,0.000000,0.000000,0.693712,0.693712,0.444992,0.444992,-0.216352,-0.323677,-0.259466
3.998000,0.000000,0.000000,0.742267,0.742267,0.638213,0.638213,-0.060869,-0.431853,-0.296688
4.498000,0.000000,0.053404,0.747409,0.747409,0.627385,0.627385,-0.020391,-0.462288,-0.302764
4.998000,0.000000,0.183908,0.776390,0.776390,0.625009,0.625009,0.079776,-0.472483,-0.273693
5.498000,0.000000,0.212484,0.774816,0.774816,0.639817,0.639817,0.120745,-0.432595,-0.196489
5.998000,0.000000,0.541684,0.754776,0.754776,0.734704,0.734704,0.558835,-0.372223,-0.081033
6.498000,0.000000,0.632723,0.724217,0.724217,0.664127,0.664127,0.581913,-0.092806,0.094932
6.998000,0.000000,0.900888,0.703420,0.703420,0.690952,0.690952,0.868604,0.198151,0.328458
7.498000,0.000000,0.738758,0.695464,0.695464,0.649027,0.649027,0.629076,0.632453,0.598546
7.998000,0.000000,1.000000,0.670704,0.670704,0.743367,0.743367,0.977964,0.946991,0.870110
8.498000,0.000000,0.969260,0.664902,0.664902,0.774113,0.774113,0.934873,1.435973,1.141091
8.998000,0.000000,0.815355,0.684126,0.684126,0.729476,0.729476,0.670364,1.903409,1.421976
9.498000,0.000000,0.367709,0.719887,0.719887,0.585171,0.585171,0.009134,2.238591,1.713730
9.998000,0.000000,0.403495,0.718442,0.718442,0.607372,0.607372,0.068110,2.243158,2.012089
10.498000,0.000000,0.554192,0.692924,0.692924,0.685278,0.685278,0.318825,2.277213,2.298066
10.998000,0.000000,1.000000,0.644385,0.644385,0.664267,0.664267,0.776219,2.436625,2.581927
11.498000,0.000000,1.000000,0.631829,0.631829,0.628315,0.628315,0.714013,2.824735,2.845387
11.998000,0.000000,1.000000,0.671422,0.671422,0.610563,0.610563,0.620967,3.181741,3.091043
12.498000,0.000000,1.000000,0.685736,0.685736,0.621713,0.621713,0.586755,3.492225,3.323138
12.998000,0.000000,1.000000,0.699260,0.699260,0.647752,0.647752,0.569932,3.785602,3.555233
13.498000,0.000000,1.000000,0.679307,0.679307,0.665160,0.665160,0.578796,4.070568,3.774158
13.998000,0.000000,0.911871,0.702145,0.702145,0.625435,0.625435,0.399165,4.359967,3.964963
14.498000,0.000000,0.511845,0.695734,0.695734,0.648965,0.648965,0.009121,4.559549,4.120133
14.998000,0.000000,0.348926,0.723179,0.723179,0.635370,0.635370,-0.195294,4.564109,4.265141
15.498000,0.000000,0.333844,0.725866,0.725866,0.595088,0.595088,-0.243581,4.466462,4.402238
15.998000,0.000000,0.611884,0.697795,0.697795,0.583900,0.583900,0.063522,4.344672,4.524809
16.498000,0.000000,1.000000,0.657189,0.657189,0.605617,0.605617,0.510786,4.376433,4.585662
16.998000,0.000000,1.000000,0.656212,0.656212,0.582134,0.582134,0.462739,4.631826,4.617939
17.498000,0.000000,0.739875,0.698650,0.698650,0.741323,0.741323,0.296230,4.863195,4.630451
17.998000,0.000000,0.074799,0.748333,0.748333,0.510240,0.510240,-0.664424,5.011310,4.653974
18.498000,0.000000,0.479181,0.740151,0.740151,0.736158,0.736158,0.007278,4.679098,4.679265
18.998000,0.000000,0.496568,0.736640,0.736640,0.712207,0.712207,0.003861,4.682737,4.718369
19.498000,0.000000,0.706449,0.733766,0.733766,0.725127,0.725127,0.229342,4.684667,4.756988
19.998000,0.000000,0.306836,0.744853,0.744853,0.758019,0.758019,-0.159932,4.799339,4.783672
20.498000,0.000000,0.473279,0.726377,0.726377,0.757718,0.757718,0.032683,4.719372,4.784732
20.998000,0.000000,0.508728,0.710302,0.710302,0.728967,0.728967,0.053822,4.735714,4.774214
21.498000,0.000000,0.697033,0.687537,0.687537,0.738852,0.738852,0.272085,4.762625,4.800861
21.998000,0.000000,0.498993,0.717930,0.717930,0.659045,0.659045,-0.049759,4.898667,4.837359
22.498000,0.000000,0.595956,0.701262,0.701262,0.657371,0.657371,0.064687,4.873788,4.865546
22.998000,0.000000,0.623378,0.698039,0.698039,0.644145,0.644145,0.078870,4.906131,4.852568
23.498000,0.000000,0.713238,0.674084,0.674084,0.659720,0.659720,0.204317,4.945566,4.812238
23.998000,0.000000,0.428476,0.721371,0.721371,0.635284,0.635284,-0.162384,5.047725,4.735195
24.498000,0.000000,0.198727,0.778506,0.778506,0.482485,0.482485,-0.593948,4.966533,4.625942
24.998000,0.000000,0.075043,0.772700,0.772700,0.457628,0.457628,-0.706984,4.669559,4.477856
25.498000,0.000000,0.062290,0.755817,0.755817,0.423567,0.423567,-0.701567,4.316067,4.311733
25.998000,0.000000,0.024104,0.681965,0.681965,0.464015,0.464015,-0.590375,3.965284,4.125575
26.498000,0.000000,0.074278,0.702524,0.702524,0.490690,0.490690,-0.504565,3.670096,3.925403
26.998000,0.000000,0.101921,0.702315,0.702315,0.531655,0.531655,-0.410521,3.417814,3.708651
27.498000,0.000000,0.194161,0.724889,0.724889,0.515981,0.515981,-0.336002,3.212553,3.487771
27.998000,0.000000,0.188140,0.701975,0.701975,0.616875,0.616875,-0.201414,3.044552,3.283025
28.498000,0.000000,0.148111,0.690617,0.690617,0.709623,0.709623,-0.127267,2.943845,3.104541
28.998000,0.000000,0.096499,0.697133,0.697133,0.643681,0.643681,-0.244975,2.880212,2.946185
29.498000,0.000000,0.078234,0.695741,0.695741,0.622035,0.622035,-0.271245,2.757724,2.807823
29.998000,0.000000,0.189116,0.717138,0.717138,0.608483,0.608483,-0.181749,2.622102,2.687236
30.498000,0.000000,0.175819,0.721645,0.721645,0.499949,0.499949,-0.299000,2.531227,2.593009
30.998000,0.000000,0.197780,0.725268,0.725268,0.575151,0.575151,-0.190510,2.381727,2.530667
31.498000,0.000000,0.170064,0.743437,0.743437,0.652958,0.652958,-0.149061,2.286472,2.484496
31.998000,0.000000,0.298540,0.715693,0.715693,0.755030,0.755030,0.116682,2.211942,2.445862
32.498000,0.000000,0.489750,0.693157,0.693157,0.732139,0.732139,0.301705,2.270283,2.415369
32.998000,0.000000,0.482103,0.687095,0.687095,0.569108,0.569108,0.122003,2.421135,2.399883
33.498000,0.000000,0.378228,0.681415,0.681415,0.574876,0.574876,0.023475,2.482137,2.393849
33.998000,0.000000,0.245881,0.686073,0.686073,0.607410,0.607410,-0.082170,2.493874,2.397000
34.498000,0.000000,0.188736,0.674428,0.674428,0.759876,0.759876,0.028905,2.452789,2.408736
34.998000,0.000000,0.210946,0.689810,0.689810,0.732886,0.732886,0.007298,2.467242,2.437197
35.498000,0.000000,0.266664,0.718128,0.718128,0.583237,0.583237,-0.115316,2.470891,2.471803
35.998000,0.000000,0.390869,0.723506,0.723506,0.555167,0.555167,-0.018793,2.413233,2.503342
36.498000,0.000000,0.510044,0.700838,0.700838,0.616604,0.616604,0.185426,2.403836,2.543949
36.998000,0.000000,0.509355,0.710740,0.710740,0.690624,0.690624,0.239583,2.496550,2.599003
37.498000,0.000000,0.505070,0.701379,0.701379,0.698308,0.698308,0.240364,2.616341,2.669997
37.998000,0.000000,0.597210,0.694137,0.694137,0.673944,0.673944,0.303365,2.736523,2.745681
38.498000,0.000000,0.589039,0.695648,0.695648,0.707863,0.707863,0.312433,2.888206,2.821509
38.998000,0.000000,0.500258,0.708355,0.708355,0.749141,0.749141,0.236602,3.044422,2.891035
39.498000,0.000000,0.379082,0.721697,0.721697,0.781612,0.781612,0.122725,3.162723,2.941389
