,mean,std,p2.5,p50,p97.5
alpha_0.00,0.243274,0.149457,0.002574,0.252214,0.542317
alpha_0.50,0.054198,0.064200,0.000832,0.028361,0.203093
alpha_1.00,0.130450,0.101892,0.001453,0.121191,0.359142
beta_0.00,0.153536,0.128741,0.002037,0.113976,0.416336
beta_0.50,0.002086,0.004230,0.000532,0.001157,0.008907
beta_1.00,0.033585,0.053064,0.000738,0.006460,0.177121
gamma_0.00,0.065024,0.084898,0.001255,0.023138,0.290554
gamma_0.50,0.192062,0.096479,0.012157,0.188338,0.389125
gamma_1.00,0.018401,0.038947,0.000454,0.001389,0.126484
kappa,0.728044,0.133159,0.511938,0.718479,1.035671
q,0.269003,0.034025,0.207566,0.270895,0.334780
r,0.001014,0.000110,0.001000,0.001000,0.001000
corr_test,0.999997,0.000002,0.999993,0.999997,0.999998
rmse_test,0.003432,0.000699,0.002650,0.003308,0.004771
