alpha_0.00,alpha_0.50,alpha_1.00,beta_0.00,beta_0.50,beta_1.00,gamma_0.00,gamma_0.50,gamma_1.00,kappa,q,r,corr_test,rmse_test
0.531148,0.066426,0.001674,0.364748,0.379251,0.198636,0.001765,0.266675,0.000443,0.753009,0.428194,0.001702,0.999996,0.002531
0.470969,0.004189,0.000992,0.226339,0.385432,0.019832,0.000801,0.308557,0.000428,0.974821,0.460386,0.004317,0.999984,0.005630
0.093226,0.001288,0.001075,0.163053,0.571117,0.016035,0.000560,0.414564,0.000551,0.478742,0.570376,0.001540,0.999999,0.001684
0.534922,0.001781,0.000763,0.264671,0.710344,0.018083,0.001992,0.408779,0.046665,0.782171,0.494090,0.003227,0.999989,0.004291
0.527539,0.001135,0.000542,0.466791,0.308063,0.190397,0.001045,0.402308,0.000525,0.704106,0.537690,0.005934,0.999973,0.007070
0.786899,0.001448,0.000522,0.558339,0.790700,0.067102,0.003364,0.709570,0.069521,0.640721,0.335913,0.093887,0.985467,0.140457
0.779773,0.002658,0.044769,0.589221,0.409362,0.008197,0.011924,0.347760,0.001163,0.918668,0.455841,0.044613,0.998093,0.056634
0.629746,0.001125,0.000706,0.216465,0.335945,0.161964,0.000499,0.323073,0.000457,0.919229,0.400826,0.044452,0.997954,0.059156
0.567778,0.000669,0.003799,0.426297,0.322012,0.096514,0.000948,0.311108,0.000440,0.683989,0.492816,0.034543,0.999074,0.039905
0.529894,0.068659,0.000847,0.353133,0.200880,0.210886,0.001261,0.050569,0.000822,0.870024,0.498438,0.078473,0.996711,0.078851
0.304537,0.002438,0.003168,0.143183,0.330933,0.232658,0.001927,0.119940,0.000501,0.721947,0.494158,0.043556,0.998892,0.046591
0.514387,0.001594,0.002631,0.186132,0.549340,0.084323,0.000673,0.421578,0.000631,1.005550,0.539164,0.024600,0.999619,0.027041
0.229032,0.002358,0.000773,0.135775,0.524929,0.123575,0.001736,0.451416,0.000674,0.691382,0.508713,0.001000,0.999999,0.001222
0.342942,0.001571,0.001549,0.190214,0.338345,0.216711,0.001479,0.168096,0.000742,0.625967,0.463090,0.005281,0.999975,0.006812
0.358101,0.052753,0.003274,0.009937,0.546120,0.069521,0.000667,0.302116,0.000722,0.766124,0.463947,0.009210,0.999922,0.011777
0.009532,0.050631,0.000787,0.002968,0.564759,0.093075,0.003027,0.235851,0.004501,0.311151,0.410907,0.012207,0.999824,0.017189
0.434759,0.001782,0.000800,0.241098,0.310187,0.127083,0.000725,0.208465,0.000553,0.723424,0.461632,0.001000,0.999999,0.001311
0.198288,0.001736,0.000641,0.067583,0.384798,0.069557,0.000880,0.201879,0.000731,0.526752,0.492387,0.004250,0.999986,0.005054
0.793711,0.000843,0.001410,0.392305,0.441624,0.002757,0.000947,0.447160,0.043638,1.251659,0.510607,0.011947,0.999883,0.014789
0.440691,0.001150,0.001262,0.093586,0.345051,0.223647,0.000853,0.208072,0.000459,0.959678,0.467321,0.001000,0.999999,0.001284
0.843359,0.001779,0.001685,0.485755,0.480199,0.128260,0.000910,0.316700,0.000942,1.089815,0.511154,0.002568,0.999994,0.003339
0.551357,0.001871,0.000736,0.068090,0.461792,0.081758,0.000871,0.246003,0.000198,1.157908,0.521825,0.001000,0.999999,0.001160
0.125244,0.001384,0.000748,0.178933,0.156698,0.136654,0.000815,0.153916,0.000911,0.491453,0.531608,0.001000,0.999999,0.001097
0.200190,0.002590,0.001241,0.365979,0.162520,0.233521,0.014416,0.259209,0.000592,0.316240,0.433977,0.002596,0.999992,0.003676
0.595649,0.002742,0.004560,0.186006,0.271457,0.014096,0.001165,0.152761,0.000673,1.341699,0.508916,0.001001,0.999999,0.001166
0.833036,0.001080,0.000706,0.795411,0.349413,0.073898,0.200620,0.246670,0.003642,0.906313,0.525419,0.001000,0.999999,0.001301
0.602486,0.001093,0.000784,0.618886,0.419593,0.041699,0.002168,0.516944,0.001141,0.677915,0.438295,0.098291,0.992589,0.110997
0.777655,0.000732,0.000632,0.406694,0.412430,0.106901,0.001371,0.314211,0.000647,1.323981,0.497747,0.029444,0.999377,0.035255
0.360654,0.002928,0.000936,0.309847,0.471132,0.036914,0.002197,0.384269,0.000950,0.487054,0.458996,0.004428,0.999978,0.006027
0.460678,0.008066,0.001164,0.360201,0.569328,0.106421,0.001409,0.638142,0.001088,0.731942,0.514168,0.001151,0.999999,0.001504
