time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
1.998000,-0.276183,0.278380,-0.720889,-0.614106,-0.465199,-0.396044,-1.082417,-1.017024,-1.090882,-0.322926,-0.322373,train
2.498000,-0.112424,0.660175,-0.660889,-0.276183,0.278380,-0.720889,-0.614106,-0.465199,-0.396044,-0.306691,-0.306598,train
2.998000,-0.529538,0.559373,-0.524765,-0.112424,0.660175,-0.660889,-0.276183,0.278380,-0.720889,-0.352908,-0.352811,train
3.498000,-1.623778,-0.290581,-1.912296,-0.529538,0.559373,-0.524765,-0.112424,0.660175,-0.660889,-1.548391,-1.543202,train
3.998000,-0.047150,0.563776,-0.045672,-1.623778,-0.290581,-1.912296,-0.529538,0.559373,-0.524765,0.017400,0.010343,train
4.498000,0.263283,1.163448,-1.057743,-0.047150,0.563776,-0.045672,-1.623778,-0.290581,-1.912296,0.762290,0.761044,train
4.998000,0.269622,0.566131,-0.919413,0.263283,1.163448,-1.057743,-0.047150,0.563776,-0.045672,0.734926,0.733685,train
5.498000,-0.207187,0.277501,-1.339669,0.269622,0.566131,-0.919413,0.263283,1.163448,-1.057743,0.459397,0.459440,train
5.998000,0.057576,0.460782,1.981068,-0.207187,0.277501,-1.339669,0.269622,0.566131,-0.919413,0.131115,0.132238,train
6.498000,0.181851,1.148316,1.632972,0.057576,0.460782,1.981068,-0.207187,0.277501,-1.339669,0.661010,0.659029,train
6.998000,-0.291879,0.334117,1.193175,0.181851,1.148316,1.632972,0.057576,0.460782,1.981068,0.654458,0.653323,train
7.498000,-1.127927,-0.791942,0.221065,-0.291879,0.334117,1.193175,0.181851,1.148316,1.632972,0.260883,0.260423,train
7.998000,-1.352009,-0.136715,0.417488,-1.127927,-0.791942,0.221065,-0.291879,0.334117,1.193175,-0.981832,-0.976990,train
8.498000,-0.442796,0.790204,1.169225,-1.352009,-0.136715,0.417488,-1.127927,-0.791942,0.221065,-0.560193,-0.560746,train
8.998000,-0.598502,1.108124,0.235244,-0.442796,0.790204,1.169225,-1.352009,-0.136715,0.417488,-1.130922,-1.127661,train
9.498000,-1.123040,0.362878,-0.577977,-0.598502,1.108124,0.235244,-0.442796,0.790204,1.169225,-1.703164,-1.700598,train
9.998000,-1.026498,0.420255,-0.480250,-1.123040,0.362878,-0.577977,-0.598502,1.108124,0.235244,-1.194972,-1.196725,train
10.498000,-0.202490,0.763756,0.746817,-1.026498,0.420255,-0.480250,-1.123040,0.362878,-0.577977,-0.689843,-0.690508,train
10.998000,0.710439,0.920988,1.405879,-0.202490,0.763756,0.746817,-1.026498,0.420255,-0.480250,0.340703,0.337186,train
11.498000,1.122554,0.557637,-1.333779,0.710439,0.920988,1.405879,-0.202490,0.763756,0.746817,1.380139,1.375331,train
11.998000,1.009651,0.625103,-0.528370,1.122554,0.557637,-1.333779,0.710439,0.920988,1.405879,1.288622,1.287735,train
12.498000,1.256349,0.516721,-0.172117,1.009651,0.625103,-0.528370,1.122554,0.557637,-1.333779,1.336026,1.335102,train
12.998000,0.954869,0.891789,1.389589,1.256349,0.516721,-0.172117,1.009651,0.625103,-0.528370,0.866412,0.867754,train
13.498000,0.523161,1.084596,0.773498,0.954869,0.891789,1.389589,1.256349,0.516721,-0.172117,0.149156,0.151782,train
13.998000,0.098956,1.046147,0.368266,0.523161,1.084596,0.773498,0.954869,0.891789,1.389589,0.396040,0.393935,train
14.498000,0.488917,0.925399,-0.547106,0.098956,1.046147,0.368266,0.523161,1.084596,0.773498,0.389892,0.388713,train
14.998000,1.192963,1.038299,-0.096060,0.488917,0.925399,-0.547106,0.098956,1.046147,0.368266,0.970086,0.967242,train
15.498000,1.056399,1.040907,-0.582247,1.192963,1.038299,-0.096060,0.488917,0.925399,-0.547106,0.332246,0.335278,train
15.998000,0.687253,0.751951,-0.821156,1.056399,1.040907,-0.582247,1.192963,1.038299,-0.096060,0.217764,0.218084,train
16.498000,0.567226,1.039539,-1.094733,0.687253,0.751951,-0.821156,1.056399,1.040907,-0.582247,0.006668,0.007394,train
